iter	Passed	Remaining
918	5253	463
919	5258	457
920	5264	451
921	5271	445
922	5277	440
923	5282	434
924	5287	428
925	5293	423
926	5299	417
927	5304	411
928	5310	405
929	5317	400
930	5324	394
931	5329	388
932	5335	383
933	5340	377
934	5345	371
935	5350	365
936	5357	360
937	5363	354
938	5368	348
939	5374	343
940	5381	337
941	5387	331
942	5392	325
943	5398	320
944	5403	314
945	5408	308
946	5413	302
947	5418	297
948	5424	291
949	5430	285
950	5436	280
951	5443	274
952	5448	268
953	5454	262
954	5461	257
955	5467	251
956	5472	245
957	5479	240
958	5485	234
959	5491	228
960	5498	223
961	5504	217
962	5510	211
963	5516	205
964	5521	200
965	5525	194
966	5532	188
967	5538	183
968	5543	177
969	5548	171
970	5554	165
971	5560	160
972	5566	154
973	5571	148
974	5575	142
975	5581	137
976	5587	131
977	5593	125
978	5598	120
979	5604	114
980	5610	108
981	5615	102
982	5620	97
983	5625	91
984	5631	85
985	5637	80
986	5642	74
987	5647	68
988	5653	62
989	5658	57
990	5665	51
991	5670	45
992	5677	40
993	5683	34
994	5688	28
995	5693	22
996	5699	17
997	5705	11
998	5711	5
999	5716	0
