iter	R2	RMSE
586	0.9568856433	0.08291322597
587	0.956928089	0.08287240221
588	0.9569893328	0.0828134633
589	0.957019821	0.08278410687
590	0.9570256798	0.08277846429
591	0.9570554625	0.08274977515
592	0.9570560386	0.08274922019
593	0.9570650656	0.08274052256
594	0.9571268951	0.08268092484
595	0.9571309637	0.08267700157
596	0.9571326177	0.08267540668
597	0.9571398187	0.08266846233
598	0.957194705	0.08261551318
599	0.9572296229	0.08258180998
600	0.9573391694	0.08247598506
601	0.9573720603	0.08244418501
602	0.957420958	0.08239688633
603	0.9574877694	0.08233221583
604	0.9575112517	0.08230947394
605	0.9575620974	0.08226020995
606	0.9575982456	0.08222516821
607	0.957703701	0.08212285542
608	0.9577338071	0.08209362306
609	0.9577432887	0.08208441451
610	0.9577540277	0.08207398348
611	0.9577833021	0.08204554189
612	0.9579085286	0.08192376659
613	0.9579221237	0.08191053529
614	0.9579428861	0.08189032431
615	0.9579982755	0.0818363816
616	0.9580883189	0.08174861402
617	0.9581831853	0.08165604324
618	0.9581995521	0.08164006192
619	0.9582440916	0.08159655549
620	0.9583454159	0.08149749479
621	0.9583942902	0.08144966931
622	0.9584198034	0.08142469244
623	0.958483812	0.08136199571
624	0.9584939371	0.08135207368
625	0.9585071049	0.08133916819
626	0.9585252169	0.08132141362
627	0.9585355162	0.0813113158
628	0.9585412616	0.08130568229
629	0.9585513266	0.08129581232
630	0.9585677887	0.08127966667
631	0.9585883426	0.08125950342
632	0.9586044031	0.08124374464
633	0.9586111711	0.08123710285
634	0.9586165209	0.08123185241
635	0.9586675805	0.08118172437
636	0.9586718345	0.08117754659
637	0.958717855	0.0811323369
638	0.9587244587	0.08112584746
639	0.958770483	0.08108060508
640	0.9588402565	0.08101196889
641	0.9588416259	0.08101062125
642	0.9589027456	0.080950449
643	0.9589782821	0.08087602163
644	0.9589829364	0.08087143339
645	0.9590282595	0.08082674034
646	0.9590387914	0.08081635126
647	0.9591073843	0.08074865614
648	0.959184154	0.08067282381
649	0.9591868849	0.08067012495
650	0.9592020237	0.08065516207
651	0.9592033257	0.08065387514
652	0.9592047573	0.08065245998
653	0.9592231789	0.08063424807
654	0.9592965749	0.08056164682
655	0.9593542245	0.0805045756
656	0.9594098149	0.08044950445
657	0.9594448504	0.08041477693
658	0.9595815889	0.08027909649
659	0.9595823501	0.08027834059
660	0.9595883582	0.08027237358
661	0.9595936	0.08026716733
662	0.9596395629	0.08022150187
663	0.959646595	0.0802145129
664	0.9596477034	0.08021341129
665	0.9596532379	0.08020791023
666	0.9596692043	0.08019203834
667	0.9596887936	0.08017256077
668	0.9596982158	0.08016319057
669	0.9597105464	0.0801509264
670	0.959826643	0.08003536308
671	0.9598298476	0.0800321709
672	0.9598339904	0.08002804387
673	0.9598347135	0.08002732346
674	0.9598720946	0.07999007488
675	0.9598983085	0.07996394345
676	0.9599098767	0.079952409
677	0.9599368962	0.07992546171
678	0.9599480535	0.07991433164
679	0.959968798	0.07989363352
680	0.9599730837	0.07988935671
681	0.959983321	0.0798791398
682	0.9600394867	0.07982306265
683	0.9600996345	0.07976296596
684	0.9601166276	0.07974597903
685	0.9601426196	0.07971998958
686	0.9601794184	0.07968317986
687	0.9601828584	0.07967973797
688	0.9601912981	0.07967129309
689	0.9602338674	0.07962868351
690	0.9602807578	0.07958172247
691	0.960342863	0.07951948089
692	0.9603592605	0.07950303927
693	0.9604242685	0.07943782283
694	0.9604552682	0.07940670496
695	0.9604898512	0.07937197557
696	0.9605108562	0.07935087429
